"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW20";"SPSPT_XL";1;"SPST";;;
2;"LCD1";"WC1602A";1;"LCD_2X16_SIL";;;
3;"C1,C2";"c_elec_8x10.5";2;"100uF, 25V";;;
4;"C3";"C_1206_HandSoldering";1;"0.1uf";;;
5;"C4";"C_1206_HandSoldering";1;"100nF";;;
6;"C5";"C_1206_HandSoldering";1;"10uF";;;
7;"D2";"LED-1206";1;"RL1";;;
8;"D3,D7,D8,D9,D10,D11,D12,D13,D14,D16";"LED-1206";10;"LED";;;
9;"D4";"LED-1206";1;"RL2";;;
10;"D5,D6";"Diode-SMA_Handsoldering";2;"1N40XX";;;
11;"D15";"Diode-SMA_Handsoldering";1;"DIODE";;;
12;"D17,D18,D19";"Diode-SMA_Handsoldering";3;"ZENER";;;
13;"IC1";"DIP-16__300_ELL";1;"L293D";;;
14;"IC2";"SOT-223";1;"LM1117";;;
15;"JP2,JP3";"bornier3";2;"M03-SCREW-5MM";;;
16;"JP4";"Pin_Header_Straight_1x08";1;"SWITCH_ARRAY";;;
17;"JP5";"Pin_Header_Straight_1x08";1;"MATRIX 4X4";;;
18;"JP6";"Pin_Header_Straight_1x04";1;"MOTAR CNTRL";;;
19;"JP7";"Pin_Header_Straight_1x08";1;"led array";;;
20;"JP8,JP9";"bornier2";2;"m1";;;
21;"K3";"Pin_Header_Straight_1x03";1;"I2C";;;
22;"K4";"BARREL_JACK";1;"CONN_3";;;
23;"P3,P4,P5,P25,P26,P27,P29,P17";"Pin_Header_Straight_1x04";8;"CONN_01X04";;;
24;"P6,P7,P8,P9,P10";"1pin";5;"CONN_1";;;
25;"P11";"Pin_Header_Straight_1x04";1;"CONN_4";;;
26;"P12";"Pin_Header_Straight_1x08";1;"CONN_8";;;
27;"P13";"Pin_Header_Straight_1x01";1;"CONN_1";;;
28;"P22,P15";"Pin_Header_Straight_1x03";2;"CONN_01X03";;;
29;"P28,P32";"Pin_Header_Straight_1x05";2;"CONN_01X05";;;
30;"Q2,Q3,Q4,Q5,Q6,Q7,Q1";"sc70";7;"BC547";;;
31;"R1,R2,R17,R18,R26";"R_1206_HandSoldering";5;"10k";;;
32;"R3,R4,R5,R6,R7,R8,R9,R19";"R_1206_HandSoldering";8;"1K";;;
33;"R10";"R_1206_HandSoldering";1;"10K";;;
34;"R13";"R_1206_HandSoldering";1;"2.2k";;;
35;"R14";"R_1206_HandSoldering";1;"3.3k";;;
36;"R15";"R_1206_HandSoldering";1;"3.3K";;;
37;"R16,R27,R29,R30,R31,R32,R33,R34,R35";"R_1206_HandSoldering";9;"470";;;
38;"R20,R28";"R_1206_HandSoldering";2;"33K";;;
39;"R21,R22,R23,R24";"R_1206_HandSoldering";4;"68";;;
40;"RR1,RR2";"r_pack8";2;"RR8";;;
41;"RV1";"Potentiometer_Triwood_RM-065";1;"TS";;;
42;"RV2";"Potentiometer_Triwood_RM-065";1;"POT";;;
43;"RV3,RV4";"Potentiometer_Triwood_RM-065";2;"VO";;;
44;"S1";"DIP-16__300_ELL";1;"SW_DIP-8";;;
45;"SD1";"Micro_SD";1;"MICRO_SD";;;
46;"SG1";"Buzzer_12x9.5RM7.6";1;"BUZZERPTH";;;
47;"SW2";"SW_PUSH_SMALL_2pin_3D_xl";1;"C";;;
48;"SW3";"SW_PUSH_SMALL_2pin_3D_xl";1;"D";;;
49;"SW4";"SW_PUSH_SMALL_2pin_3D_xl";1;"E";;;
50;"SW5";"SW_PUSH_SMALL_2pin_3D_xl";1;"F";;;
51;"SW6";"SW_PUSH_SMALL_2pin_3D_xl";1;"9";;;
52;"SW7";"SW_PUSH_SMALL_2pin_3D_xl";1;"0";;;
53;"SW8";"SW_PUSH_SMALL_2pin_3D_xl";1;"A";;;
54;"SW9";"SW_PUSH_SMALL_2pin_3D_xl";1;"B";;;
55;"SW10";"SW_PUSH_SMALL_2pin_3D_xl";1;"5";;;
56;"SW11";"SW_PUSH_SMALL_2pin_3D_xl";1;"6";;;
57;"SW12";"SW_PUSH_SMALL_2pin_3D_xl";1;"7";;;
58;"SW13";"SW_PUSH_SMALL_2pin_3D_xl";1;"8";;;
59;"SW14";"SW_PUSH_SMALL_2pin_3D_xl";1;"1";;;
60;"SW15";"SW_PUSH_SMALL_2pin_3D_xl";1;"2";;;
61;"SW16";"SW_PUSH_SMALL_2pin_3D_xl";1;"3";;;
62;"SW17";"SW_PUSH_SMALL_2pin_3D_xl";1;"4";;;
63;"SW18";"SW_PUSH_SMALL_2pin_3D_xl";1;"INT0";;;
64;"SW19";"SW_PUSH_SMALL_2pin_3D_xl";1;"INT1";;;
65;"U2";"DIP-8__300_ELL";1;"24C16";;;
66;"U3";"DIP-8__300_ELL";1;"DS1307";;;
67;"U4";"BATT_rtc_XL";1;"BATTERY";;;
68;"U7";"Pin_Header_Straight_1x20";1;"LCD-jhd12864e-xl";;;
69;"JP1";"Pin_Header_Straight_1x02";1;"RELAY";;;
70;"JP10";"Pin_Header_Straight_1x02";1;"JUMPER";;;
71;"K1,K2";"XL-RELAY-12";2;"RELAYPTH";;;
72;"U1";"LM78XX_v1_XL1";1;"7805";;;
73;"R25";"Pin_Header_Straight_1x02";1;"LDR";;;
74;"P30";"Pin_Header_Straight_1x07";1;"CONN_01X07";;;
75;"P31";"Pin_Header_Straight_1x08";1;"CONN_01X08";;;
76;"P1";"Pin_Header_Straight_1x02";1;"CONN_01X02";;;
77;"AFF2,AFF3,AFF4,AFF1";"7SegmentLED_LTS6760_LTS6780";4;"LTS-6960HR";;;
78;"D1";"bridge_smd_xl";1;"BRIDGE";;;
79;"P2,P14";"Pin_Header_Straight_1x20";2;"CONN_01X20";;;
80;"X1";"RTC_Crystal";1;"CRYSTAL_SMD";;;
81;"U5";"40pin_breakout";1;"40PIN_Breakout";;;
82;"P16";"Pin_Header_Straight_1x06";1;"CONN_01X06";;;
